x_m,y_m,Vel_m,Depth_m
0.004968,0,3.15E-17,0.143188462
0.066887543,0,0.376606971,0.143999398
0.128807087,0,0.399895608,0.145399109
0.190726631,0,0.414005429,0.146473497
0.252646176,0,0.420886993,0.147388697
0.314565721,0,0.422950566,0.148156673
0.376485267,0,0.421875983,0.148787707
0.438404814,0,0.418800265,0.149306849
0.500324361,0,0.414506018,0.149738222
0.562243908,0,0.409521461,0.150100991
0.624163456,0,0.404191494,0.150410175
0.686083005,0,0.398735851,0.150677472
0.748002554,0,0.393292189,0.150911778
0.809922103,0,0.387946099,0.151119888
0.871841652,0,0.382749766,0.151307032
0.933761202,0,0.377733469,0.151477277
0.995680752,0,0.372920722,0.151633814
1.057600303,0,0.368354976,0.151779026
1.119519854,0,0.364130855,0.151914299
1.181439405,0,0.360376626,0.152041063
1.243358956,0,0.356977671,0.152164042
1.305278507,0,0.352237016,0.152269706
1.371301,0,0,0.152312487
,,,
,,,
,,,
,,,
