     X_meter,            Y_meter,        Vel_Mag_m_p_s,       Water_Depth_m
4.154166887,1.960029054,0.000226626,0.149805293
4.154166887,1.880087161,0.001519394,0.149805176
4.154166887,1.800145268,0.002721861,0.149804571
4.154166887,1.720203375,0.004452456,0.149803544
4.154166887,1.640261482,0.006343677,0.149801711
4.154166887,1.560319589,0.008803991,0.149799312
4.154166887,1.480377696,0.011317185,0.149795107
4.154166887,1.400435803,0.015174889,0.149790887
4.154166887,1.32049391,0.018296408,0.149779858
4.154166887,1.240552017,0.02754573,0.149776739
4.154166612,1.160573807,0.035716876,0.149720193
4.154166612,1.080559281,0.043631441,0.149756268
4.154166612,1.000544754,0.038004793,0.149817834
4.154166612,0.920530227,0.097230591,0.149775577
4.154166612,0.8405157,0.163800648,0.14977332
4.154166612,0.760501174,0.216698511,0.14971776
4.154166612,0.680486647,0.260829147,0.149652897
4.154166612,0.60047212,0.297333916,0.149605208
4.154166612,0.520457593,0.32692201,0.149590753
4.154166612,0.440443067,0.350259585,0.149615032
4.154166612,0.36042854,0.368024446,0.149675969
4.154166612,0.280414013,0.38091735,0.14976695
4.154166612,0.200399486,0.389653093,0.149879353
4.154166612,0.120384959,0.394941682,0.150004408
4.154166612,0.040370433,0.397465449,0.150134374
4.154166612,-0.039644094,0.39785499,0.150263109
4.154166612,-0.119658621,0.396665315,0.150386176
4.154166612,-0.199673148,0.394348537,0.150500349
4.154166612,-0.279687674,0.391169379,0.150603667
4.154166612,-0.359702201,0.386687153,0.150697242
4.154166612,-0.439716728,0.377785508,0.150764223
4.154148144,-0.522324621,0.352519469,0.150864492
4.154209278,-0.599999508,0.288606866,0.150898166
4.154149851,-0.677420668,0.278134874,0.150914526
4.154166612,-0.759774835,0.314989949,0.150883717
4.154166612,-0.839789362,0.343240194,0.150918988
4.154166612,-0.919803889,0.357858688,0.150922503
4.154166612,-0.999818415,0.363771375,0.150944535
4.154166612,-1.079832942,0.365247074,0.150971602
4.154166612,-1.159847469,0.364656187,0.151001915
4.154166612,-1.239861996,0.363235428,0.151034369
4.154166612,-1.319876522,0.361574909,0.151067074
4.154166612,-1.399891049,0.359928891,0.151098561
4.154166612,-1.479905576,0.358393752,0.151127745
4.154166612,-1.559920103,0.356979223,0.151153788
4.154166612,-1.63993463,0.355609106,0.15117622
4.154166612,-1.719949156,0.354062153,0.151194396
4.154166612,-1.799963683,0.351877702,0.151208627
4.154166612,-1.87997821,0.348180742,0.151217552
4.154166612,-1.959992737,0.341625571,0.151222857
4.272500221,1.96002816,0.001975887,0.149805485
4.272500221,1.880084479,0.003260588,0.149805308
4.272500221,1.800140798,0.004631925,0.149804428
4.272500221,1.720197117,0.00625247,0.149803195
4.272500221,1.640253436,0.008053375,0.149801085
4.272500221,1.560309755,0.010218919,0.149798339
4.272500221,1.480366075,0.012551048,0.149793905
4.272500221,1.400422394,0.015556226,0.14978895
4.272500221,1.320478713,0.018613057,0.149779395
4.272500221,1.240535032,0.023213532,0.149771902
4.272499945,1.160556152,0.028092201,0.149746414
4.272499945,1.080542072,0.027322301,0.149742827
4.272499945,1.000527992,0.018530936,0.149707269
4.272499945,0.920513912,0.100944517,0.149762928
4.272499945,0.840499833,0.164348135,0.14978874
4.272499945,0.760485753,0.214977764,0.149788915
4.272499945,0.680471673,0.257377376,0.149776413
4.272499945,0.600457593,0.292805494,0.149760626
4.272499945,0.520443513,0.321918328,0.149754699
4.272499945,0.440429434,0.345275378,0.149767492
4.272499945,0.360415354,0.363428616,0.14980298
4.272499945,0.280401274,0.376956303,0.14986083
4.272499945,0.200387194,0.386465153,0.149937683
4.272499945,0.120373115,0.392576596,0.15002854
4.272499945,0.040359035,0.39590539,0.150127934
4.272499945,-0.039655045,0.397034647,0.150230749
4.272499945,-0.119669125,0.396487926,0.150332758
4.272499945,-0.199683205,0.394690261,0.150430657
4.272499945,-0.279697284,0.391856302,0.150522123
4.272499945,-0.359711364,0.387417009,0.150610199
4.272499945,-0.439725444,0.378122051,0.150680532
4.272481442,-0.522253094,0.353650924,0.15077411
4.272542428,-0.599999523,0.301460998,0.150826763
4.272483156,-0.677500032,0.285699212,0.150840418
4.272499945,-0.759781763,0.315099373,0.150829552
4.272499945,-0.839795843,0.342300919,0.150856763
4.272499945,-0.919809923,0.357351791,0.150865407
4.272499945,-0.999824003,0.363862176,0.150889454
4.272499945,-1.079838082,0.365784191,0.15091467
4.272499945,-1.159852162,0.365491827,0.150941471
4.272499945,-1.239866242,0.364285505,0.150969119
4.272499945,-1.319880322,0.362795353,0.150996407
4.272499945,-1.399894402,0.361294587,0.15102249
4.272499945,-1.479908481,0.359885196,0.151046658
4.272499945,-1.559922561,0.358574871,0.15106829
4.272499945,-1.639936641,0.357281226,0.151087004
4.272499945,-1.719950721,0.355774444,0.151102234
4.272499945,-1.799964801,0.353584498,0.15111418
4.272499945,-1.87997888,0.349833963,0.151121712
4.272499945,-1.95999296,0.34317859,0.151126183
4.390833554,1.960027266,0.003647231,0.149806158
4.390833554,1.880081797,0.004906651,0.149805997
4.390833554,1.800136328,0.006297272,0.149805026
4.390833554,1.720190859,0.007790153,0.149803724
4.390833554,1.640245391,0.009381269,0.149801635
4.390833554,1.560299922,0.011104371,0.149799039
4.390833554,1.480354453,0.012905002,0.149795369
4.390833554,1.400408984,0.014871347,0.149791473
4.390833554,1.320463516,0.016894139,0.149785801
4.390833554,1.240518047,0.018990092,0.149781621
4.390833278,1.160538496,0.02159402,0.149774123
4.390833278,1.080524863,0.019608214,0.149773469
4.390833278,1.000511231,0.015247352,0.14977172
4.390833278,0.920497598,0.101412886,0.149769184
4.390833278,0.840483965,0.164623815,0.149757137
4.390833278,0.760470332,0.21450379,0.14975433
4.390833278,0.680456699,0.255996447,0.14975827
4.390833278,0.600443067,0.290601864,0.14976773
4.390833278,0.520429434,0.319119871,0.14978584
4.390833278,0.440415801,0.342163622,0.149815053
4.390833278,0.360402168,0.360278341,0.149857028
4.390833278,0.280388535,0.374000767,0.149911939
4.390833278,0.200374902,0.383878919,0.149978477
4.390833278,0.12036127,0.390471183,0.150054247
4.390833278,0.040347637,0.394333281,0.150136289
4.390833278,-0.039665996,0.395998091,0.150221577
4.390833278,-0.119679629,0.395949039,0.150307473
4.390833278,-0.199693262,0.394574453,0.150391913
4.390833278,-0.279706894,0.392035196,0.150472838
4.390833278,-0.359720527,0.387668841,0.150553326
4.390833278,-0.43973416,0.378204433,0.150620547
4.390814741,-0.522181568,0.354808838,0.150699251
4.390875579,-0.599999538,0.311001126,0.150750467
4.39081646,-0.677579396,0.292833121,0.150766612
4.390833278,-0.759788691,0.315990375,0.150771192
4.390833278,-0.839802324,0.341669464,0.150795539
4.390833278,-0.919815957,0.35696253,0.15080772
4.390833278,-0.99982959,0.364018963,0.150831218
4.390833278,-1.079843223,0.366361554,0.150854251
4.390833278,-1.159856855,0.366345591,0.150878345
4.390833278,-1.239870488,0.365324935,0.150902589
4.390833278,-1.319884121,0.36397083,0.150926118
4.390833278,-1.399897754,0.362580317,0.15094839
4.390833278,-1.479911387,0.361264468,0.150968915
4.390833278,-1.55992502,0.360030614,0.150987239
4.390833278,-1.639938652,0.358790595,0.151003086
4.390833278,-1.719952285,0.357305862,0.151015997
4.390833278,-1.799965918,0.355096616,0.151026127
4.390833278,-1.879979551,0.351283829,0.151032544
