X (ft),Y (ft),U_ave (fps),Depth (ft)
90.16014112,580.8134155,0.303739965,1.114602804
98.99760619,580.4343872,0.375741363,1.492935181
168.178456,578.18927,1.08115232,3.736749649
188.3375306,577.5512695,1.947343946,4.369215965
208.4688198,576.7059937,2.306879759,5.214017391
228.5729332,576.1046753,2.642888546,5.813233852
248.6504629,574.4981689,2.960571289,7.419113159
268.7019841,573.873291,3.346563339,8.046710968
288.728055,573.0252075,3.806687355,8.896943092
308.7292185,569.9284058,4.209492683,11.99346733
317.1436517,568.7197876,4.399868488,13.20186901
337.3293473,565.4106445,4.913490295,16.51352692
357.4880624,562.6174316,5.366181374,19.30637932
377.6203641,558.3069458,5.73065424,23.61684608
397.7268038,555.0149536,5.993677616,26.90965462
417.8079174,553.4367065,6.164569378,28.48853111
437.8642265,552.800354,6.269317627,29.12568283
457.8962382,551.7797241,6.321894646,30.14657784
477.9044459,551.0396729,6.330190659,30.88681793
497.8893298,550.8128052,6.300341129,31.11444283
517.8513572,551.4540405,6.241707802,30.47410011
537.7909832,551.9603882,6.167569637,29.96889305
557.7086505,551.859314,6.084189415,30.07006645
577.6047907,552.524353,5.96048975,29.40407753
588.6512105,552.882019,5.869717121,29.04693604
608.7008304,554.201355,5.682960987,27.73163986
628.7273495,556.2739868,5.424128532,25.6615181
648.7312159,558.5131836,5.000573635,23.4239502
668.7128658,561.4220581,4.378362179,20.517519
688.6727244,564.9359741,3.523841619,17.00571251
708.6112062,571.1256104,2.314632177,10.81852436
728.5287152,581.4963989,0.125143424,0.449522644
