X (ft),Y (ft),U_ave (fps),Depth (ft)
91.61042171,580.7346802,0.551687896,1.214128375
116.9921518,579.9016724,0.891478479,2.043102503
173.5183736,578.1636353,1.556002975,3.776862383
194.0056954,577.456665,2.460229635,4.484632492
214.4995268,576.7338257,2.794403553,5.206142902
234.9997459,576.0126343,3.115633488,5.927023888
255.5062337,575.2930908,3.438261747,6.644393921
276.0188744,574.1217041,3.82253623,7.815983772
296.5375546,571.5596924,4.213949203,10.37330246
317.0621641,567.5343018,4.642543316,14.39589119
337.5925951,564.7171631,5.082592964,17.21648407
358.1287426,562.6537476,5.511452198,19.28218079
378.6705038,558.9498291,5.852021217,22.98690796
399.2177786,555.0808105,6.087869167,26.85821724
419.7704693,553.4110718,6.237315178,28.53005791
440.3284803,552.5093384,6.324641228,29.43356895
460.8917183,551.579895,6.359485626,30.36429214
481.4600924,551.1308594,6.348155022,30.81469536
502.0335134,550.9581909,6.298159599,30.9886322
522.6118944,551.5160522,6.220861435,30.4315567
543.1951505,552.0130615,6.133283138,29.93516159
563.7831986,552.0250854,6.058999538,29.92206955
584.3759576,553.1768799,5.910913944,28.77169609
604.9733482,554.0941162,5.696931839,27.86039352
625.5752927,555.8115845,5.459578991,26.14150047
646.1817153,558.7911987,5.00258255,23.16230583
666.7925419,561.1443481,4.3175807,20.80945015
687.4076999,563.3292236,3.382159472,18.62469292
708.0271184,568.9613647,2.005823135,12.99499989
728.6507279,581.944458,0.02779955,0.013447913
