     X_meter,            Y_meter,        Vel_Mag_m_p_s,       Water_Depth_m
-2.469879518,0.88392,0.208248975,0.130814821
-2.469879518,0.82296,0.208446277,0.130808967
-2.469879518,0.762,0.208414453,0.130811311
-2.469879518,0.70104,0.208401205,0.130816762
-2.469879518,0.64008,0.208401115,0.130825898
-2.469879518,0.57912,0.208409438,0.130837756
-2.469879518,0.51816,0.208420836,0.130852358
-2.469879518,0.4572,0.208435534,0.130869329
-2.469879518,0.39624,0.208452231,0.130888519
-2.469879518,0.33528,0.208470965,0.130909655
-2.469879518,0.27432,0.20849121,0.130932514
-2.469879518,0.21336,0.208512801,0.130956829
-2.469879518,0.1524,0.208535393,0.130982336
-2.469879518,0.09144,0.208558746,0.131008753
-2.469879518,0.03048,0.208582566,0.13103579
-2.469879518,-0.03048,0.208606596,0.131063152
-2.469879518,-0.09144,0.208630557,0.13109054
-2.469879518,-0.1524,0.208654213,0.131117651
-2.469879518,-0.21336,0.208677284,0.131144191
-2.469879518,-0.27432,0.20869961,0.131169865
-2.469879518,-0.33528,0.208720864,0.131194403
-2.469879518,-0.39624,0.208741103,0.131217523
-2.469879518,-0.4572,0.208759777,0.131239022
-2.469879518,-0.51816,0.208777664,0.131258611
-2.469879518,-0.57912,0.208793426,0.131276255
-2.469879518,-0.64008,0.20881074,0.131291563
-2.469879518,-0.70104,0.208826618,0.13130499
-2.469879518,-0.762,0.208859742,0.131315746
-2.469879518,-0.82296,0.208888474,0.131325951
-2.469879518,-0.88392,0.208716409,0.131334697
-2.409638554,0.88392,0.208291564,0.130793868
-2.409638554,0.82296,0.208796265,0.130793918
-2.409638554,0.762,0.208761192,0.130797561
-2.409638554,0.70104,0.208723057,0.130803431
-2.409638554,0.64008,0.208703832,0.13081277
-2.409638554,0.57912,0.208698917,0.130824705
-2.409638554,0.51816,0.20869803,0.130839392
-2.409638554,0.4572,0.2087013,0.130856428
-2.409638554,0.39624,0.208705984,0.130875693
-2.409638554,0.33528,0.208712242,0.130896903
-2.409638554,0.27432,0.208719168,0.130919843
-2.409638554,0.21336,0.208726689,0.130944242
-2.409638554,0.1524,0.208734416,0.130969837
-2.409638554,0.09144,0.208742222,0.130996344
-2.409638554,0.03048,0.2087499,0.131023474
-2.409638554,-0.03048,0.208757357,0.131050931
-2.409638554,-0.09144,0.208764471,0.131078413
-2.409638554,-0.1524,0.208771237,0.131105618
-2.409638554,-0.21336,0.208777573,0.131132251
-2.409638554,-0.27432,0.208783656,0.131158012
-2.409638554,-0.33528,0.208789327,0.131182636
-2.409638554,-0.39624,0.208795249,0.13120583
-2.409638554,-0.4572,0.20880081,0.131227403
-2.409638554,-0.51816,0.208808292,0.131247037
-2.409638554,-0.57912,0.208815482,0.13126474
-2.409638554,-0.64008,0.208830951,0.131280008
-2.409638554,-0.70104,0.208848164,0.131293427
-2.409638554,-0.762,0.208900509,0.131303637
-2.409638554,-0.82296,0.208912606,0.131312997
-2.409638554,-0.88392,0.208454245,0.131315618
-2.34939759,0.88392,0.208441248,0.130771517
-2.34939759,0.82296,0.209316084,0.130772421
-2.34939759,0.762,0.209312287,0.130777042
-2.34939759,0.70104,0.209250727,0.130783666
-2.34939759,0.64008,0.209203957,0.130793603
-2.34939759,0.57912,0.209175119,0.130805983
-2.34939759,0.51816,0.209150724,0.130821107
-2.34939759,0.4572,0.209130693,0.130838552
-2.34939759,0.39624,0.209110784,0.130858249
-2.34939759,0.33528,0.209091157,0.130879904
-2.34939759,0.27432,0.209070494,0.130903315
-2.34939759,0.21336,0.209048835,0.130928205
-2.34939759,0.1524,0.209025803,0.130954314
-2.34939759,0.09144,0.209001485,0.13098135
-2.34939759,0.03048,0.208975891,0.131009023
-2.34939759,-0.03048,0.20894925,0.131037029
-2.34939759,-0.09144,0.208921789,0.131065063
-2.34939759,-0.1524,0.208893946,0.131092813
-2.34939759,-0.21336,0.208866071,0.13111998
-2.34939759,-0.27432,0.208838948,0.131146252
-2.34939759,-0.33528,0.208812861,0.131171362
-2.34939759,-0.39624,0.208789413,0.131194994
-2.34939759,-0.4572,0.208768244,0.131216968
-2.34939759,-0.51816,0.208753557,0.131236906
-2.34939759,-0.57912,0.20874257,0.131254872
-2.34939759,-0.64008,0.208748937,0.13127017
-2.34939759,-0.70104,0.208761506,0.13128361
-2.34939759,-0.762,0.208819304,0.131293176
-2.34939759,-0.82296,0.208775043,0.131302259
-2.34939759,-0.88392,0.207967767,0.131303524
-2.289156627,0.88392,0.208714008,0.130747676
-2.289156627,0.82296,0.209923051,0.130748856
-2.289156627,0.762,0.209972996,0.130754302
-2.289156627,0.70104,0.20989815,0.130761526
-2.289156627,0.64008,0.209823188,0.130772111
-2.289156627,0.57912,0.209765753,0.130785062
-2.289156627,0.51816,0.209711059,0.130800798
-2.289156627,0.4572,0.209659426,0.130818854
-2.289156627,0.39624,0.209605546,0.130839208
-2.289156627,0.33528,0.209549653,0.13086155
-2.289156627,0.27432,0.209490149,0.130885691
-2.289156627,0.21336,0.209427235,0.130911345
-2.289156627,0.1524,0.20936064,0.130938253
-2.289156627,0.09144,0.209290752,0.130966114
-2.289156627,0.03048,0.209217913,0.130994634
-2.289156627,-0.03048,0.209142805,0.131023498
-2.289156627,-0.09144,0.209066156,0.131052392
-2.289156627,-0.1524,0.208989015,0.131080995
-2.289156627,-0.21336,0.20891236,0.131108996
-2.289156627,-0.27432,0.208837769,0.13113607
-2.289156627,-0.33528,0.208766199,0.131161942
-2.289156627,-0.39624,0.20870035,0.131186269
-2.289156627,-0.4572,0.208640367,0.13120888
-2.289156627,-0.51816,0.2085923,0.131229332
-2.289156627,-0.57912,0.208553065,0.131247753
-2.289156627,-0.64008,0.208539995,0.131263262
-2.289156627,-0.70104,0.208537415,0.131276925
-2.289156627,-0.762,0.208579619,0.131286198
-2.289156627,-0.82296,0.208452893,0.131295257
-2.289156627,-0.88392,0.207326426,0.13129583
-2.228915663,0.88392,0.209131845,0.130721699
-2.228915663,0.82296,0.210636986,0.13072292
-2.228915663,0.762,0.210755027,0.13072913
-2.228915663,0.70104,0.210673817,0.130736876
-2.228915663,0.64008,0.210569761,0.130748172
-2.228915663,0.57912,0.210479542,0.130761796
-2.228915663,0.51816,0.210388154,0.130778299
-2.228915663,0.4572,0.210296936,0.130797152
-2.228915663,0.39624,0.210199818,0.130818378
-2.228915663,0.33528,0.210097236,0.130841643
-2.228915663,0.27432,0.209987456,0.130866771
-2.228915663,0.21336,0.209870926,0.130893463
-2.228915663,0.1524,0.209747588,0.130921457
-2.228915663,0.09144,0.209618232,0.130950443
-2.228915663,0.03048,0.209483655,0.130980116
-2.228915663,-0.03048,0.209345129,0.13101015
-2.228915663,-0.09144,0.209204039,0.13104022
-2.228915663,-0.1524,0.209062217,0.131069987
-2.228915663,-0.21336,0.208921463,0.131099132
-2.228915663,-0.27432,0.20878434,0.131127305
-2.228915663,-0.33528,0.208652701,0.131154225
-2.228915663,-0.39624,0.208530487,0.131179517
-2.228915663,-0.4572,0.208418599,0.131203017
-2.228915663,-0.51816,0.208324829,0.131224215
-2.228915663,-0.57912,0.208246143,0.131243306
-2.228915663,-0.64008,0.208202311,0.131259235
-2.228915663,-0.70104,0.208173459,0.131273316
-2.228915663,-0.762,0.208182202,0.131282562
-2.228915663,-0.82296,0.207953281,0.131291786
-2.228915663,-0.88392,0.206541312,0.131291928
-2.168674699,0.88392,0.209708401,0.130693113
-2.168674699,0.82296,0.211474152,0.130694207
-2.168674699,0.762,0.211668638,0.130701146
-2.168674699,0.70104,0.211585649,0.130709392
-2.168674699,0.64008,0.211451261,0.130721481
-2.168674699,0.57912,0.211323895,0.13073589
-2.168674699,0.51816,0.211189343,0.130753325
-2.168674699,0.4572,0.211050462,0.13077317
-2.168674699,0.39624,0.210900645,0.130795494
-2.168674699,0.33528,0.210740654,0.130819934
-2.168674699,0.27432,0.210568762,0.130846322
-2.168674699,0.21336,0.210385749,0.130874344
-2.168674699,0.1524,0.21019189,0.130903734
-2.168674699,0.09144,0.209988481,0.130934166
-2.168674699,0.03048,0.20977691,0.130965324
-2.168674699,-0.03048,0.209559172,0.130996867
-2.168674699,-0.09144,0.209337477,0.131028454
-2.168674699,-0.1524,0.209114616,0.131059728
-2.168674699,-0.21336,0.208893414,0.131090351
-2.168674699,-0.27432,0.208677617,0.131119951
-2.168674699,-0.33528,0.208470212,0.131148233
-2.168674699,-0.39624,0.208276543,0.131174786
-2.168674699,-0.4572,0.208098531,0.131199452
-2.168674699,-0.51816,0.207945667,0.131221654
-2.168674699,-0.57912,0.207815322,0.131241651
-2.168674699,-0.64008,0.207728748,0.131258223
-2.168674699,-0.70104,0.20766176,0.131272918
-2.168674699,-0.762,0.207621129,0.131282356
-2.168674699,-0.82296,0.207274969,0.13129193
-2.168674699,-0.88392,0.205609174,0.131291823
-2.108433735,0.88392,0.210453108,0.130661623
-2.108433735,0.82296,0.212446825,0.130662522
-2.108433735,0.762,0.212721172,0.130670199
-2.108433735,0.70104,0.212639134,0.130678955
-2.108433735,0.64008,0.212472865,0.130691929
-2.108433735,0.57912,0.212303778,0.130707241
-2.108433735,0.51816,0.212119504,0.130725777
-2.108433735,0.4572,0.211924775,0.130746813
-2.108433735,0.39624,0.211712637,0.130770469
-2.108433735,0.33528,0.211484284,0.130796343
-2.108433735,0.27432,0.211238121,0.130824276
-2.108433735,0.21336,0.210975353,0.130853934
-2.108433735,0.1524,0.210696698,0.130885042
-2.108433735,0.09144,0.210404074,0.130917258
-2.108433735,0.03048,0.21009958,0.130950251
-2.108433735,-0.03048,0.209786084,0.13098366
-2.108433735,-0.09144,0.209466782,0.131017124
-2.108433735,-0.1524,0.209145605,0.131050264
-2.108433735,-0.21336,0.208826622,0.131082721
-2.108433735,-0.27432,0.208514967,0.131114095
-2.108433735,-0.33528,0.208215027,0.131144073
-2.108433735,-0.39624,0.207933726,0.131172205
-2.108433735,-0.4572,0.207674311,0.131198337
-2.108433735,-0.51816,0.207447982,0.131221817
-2.108433735,-0.57912,0.207252838,0.131242971
-2.108433735,-0.64008,0.207110937,0.13126042
-2.108433735,-0.70104,0.206993268,0.131275929
-2.108433735,-0.762,0.206888684,0.13128575
-2.108433735,-0.82296,0.206414169,0.131295831
-2.108433735,-0.88392,0.204523814,0.131295548
-2.048192771,0.88392,0.211375769,0.130626925
-2.048192771,0.82296,0.213568855,0.1306276
-2.048192771,0.762,0.213922918,0.13063605
-2.048192771,0.70104,0.21384295,0.130645356
-2.048192771,0.64008,0.213642769,0.13065932
-2.048192771,0.57912,0.213427018,0.130675666
-2.048192771,0.51816,0.213186215,0.130695482
-2.048192771,0.4572,0.212927165,0.130717919
-2.048192771,0.39624,0.212642773,0.130743151
-2.048192771,0.33528,0.212334721,0.130770732
-2.048192771,0.27432,0.212001669,0.13080051
-2.048192771,0.21336,0.211645324,0.130832126
-2.048192771,0.1524,0.211266961,0.130865294
-2.048192771,0.09144,0.210869223,0.130899651
-2.048192771,0.03048,0.210455047,0.13093485
-2.048192771,-0.03048,0.210028309,0.130970503
-2.048192771,-0.09144,0.209593362,0.131006229
-2.048192771,-0.1524,0.209155463,0.13104162
-2.048192771,-0.21336,0.208720153,0.131076291
-2.048192771,-0.27432,0.20829419,0.131109811
-2.048192771,-0.33528,0.207883646,0.131141844
-2.048192771,-0.39624,0.207497255,0.131171897
-2.048192771,-0.4572,0.207139914,0.131199811
