Cell	Coordinate_1(m)	Coordinate_2(m)	Uave(m/s)	Depth(m)	m-index	Tau(Pa)
Cell_1	-2.469879518	0.88392	0.208248975	0.130814821	0.14285714285714285	0.15153727399356048
Cell_2	-2.469879518	0.82296	0.208446277	0.130808967	0.14285714285714285	0.1518421301400096
Cell_3	-2.469879518	0.762	0.208414453	0.130811311	0.14285714285714285	0.15179245897050553
Cell_4	-2.469879518	0.70104	0.208401205	0.130816762	0.14285714285714285	0.1517702152495692
Cell_5	-2.469879518	0.64008	0.208401115	0.130825898	0.14285714285714285	0.1517668852762587
Cell_6	-2.469879518	0.57912	0.208409438	0.130837756	0.14285714285714285	0.15177550735872028
Cell_7	-2.469879518	0.51816	0.208420836	0.130852358	0.14285714285714285	0.1517879013373662
Cell_8	-2.469879518	0.4572	0.208435534	0.130869329	0.14285714285714285	0.15180453831779211
Cell_9	-2.469879518	0.39624	0.208452231	0.130888519	0.14285714285714285	0.15182347340339925
Cell_10	-2.469879518	0.33528	0.208470965	0.130909655	0.14285714285714285	0.15184486724795854
Cell_11	-2.469879518	0.27432	0.20849121	0.130932514	0.14285714285714285	0.1518679558768686
Cell_12	-2.469879518	0.21336	0.208512801	0.130956829	0.14285714285714285	0.15189261749679703
Cell_13	-2.469879518	0.1524	0.208535393	0.130982336	0.14285714285714285	0.15191841493772074
Cell_14	-2.469879518	0.09144	0.208558746	0.131008753	0.14285714285714285	0.15194504046165308
Cell_15	-2.469879518	0.03048	0.208582566	0.13103579	0.14285714285714285	0.15197218201090226
Cell_16	-2.469879518	-0.03048	0.208606596	0.131063152	0.14285714285714285	0.15199953536199434
Cell_17	-2.469879518	-0.09144	0.208630557	0.13109054	0.14285714285714285	0.15202677642953966
Cell_18	-2.469879518	-0.1524	0.208654213	0.131117651	0.14285714285714285	0.15205364845602048
Cell_19	-2.469879518	-0.21336	0.208677284	0.131144191	0.14285714285714285	0.15207982383233332
Cell_20	-2.469879518	-0.27432	0.20869961	0.131169865	0.14285714285714285	0.15210515955390466
Cell_21	-2.469879518	-0.33528	0.208720864	0.131194403	0.14285714285714285	0.15212924395403282
Cell_22	-2.469879518	-0.39624	0.208741103	0.131217523	0.14285714285714285	0.1521522692954981
Cell_23	-2.469879518	-0.4572	0.208759777	0.131239022	0.14285714285714285	0.15217345769829932
Cell_24	-2.469879518	-0.51816	0.208777664	0.131258611	0.14285714285714285	0.15219412130341978
Cell_25	-2.469879518	-0.57912	0.208793426	0.131276255	0.14285714285714285	0.15221217098951492
Cell_26	-2.469879518	-0.64008	0.20881074	0.131291563	0.14285714285714285	0.15223343573055384
Cell_27	-2.469879518	-0.70104	0.208826618	0.13130499	0.14285714285714285	0.1522531483466711
Cell_28	-2.469879518	-0.762	0.208859742	0.131315746	0.14285714285714285	0.1523003253837038
Cell_29	-2.469879518	-0.82296	0.208888474	0.131325951	0.14285714285714285	0.15234091736708766
Cell_30	-2.469879518	-0.88392	0.208716409	0.131334697	0.14285714285714285	0.15207344476140747
Cell_31	-2.409638554	0.88392	0.208291564	0.130793868	0.14285714285714285	0.15160992515465313
Cell_32	-2.409638554	0.82296	0.208796265	0.130793918	0.14285714285714285	0.1525469924129751
Cell_33	-2.409638554	0.762	0.208761192	0.130797561	0.14285714285714285	0.15233013919892016
Cell_34	-2.409638554	0.70104	0.208723057	0.130803431	0.14285714285714285	0.15226941941521496
Cell_35	-2.409638554	0.64008	0.208703832	0.13081277	0.14285714285714285	0.15223657985169822
Cell_36	-2.409638554	0.57912	0.208698917	0.130824705	0.14285714285714285	0.15222484223370059
Cell_37	-2.409638554	0.51816	0.20869803	0.130839392	0.14285714285714285	0.15237937718362582
Cell_38	-2.409638554	0.4572	0.2087013	0.130856428	0.14285714285714285	0.15221739128064174
Cell_39	-2.409638554	0.39624	0.208705984	0.130875693	0.14285714285714285	0.15221784154071127
Cell_40	-2.409638554	0.33528	0.208712242	0.130896903	0.14285714285714285	0.15222003794251943
Cell_41	-2.409638554	0.27432	0.208719168	0.130919843	0.14285714285714285	0.15222266612334584
Cell_42	-2.409638554	0.21336	0.208726689	0.130944242	0.14285714285714285	0.15222567388559768
Cell_43	-2.409638554	0.1524	0.208734416	0.130969837	0.14285714285714285	0.15222859369737274
Cell_44	-2.409638554	0.09144	0.208742222	0.130996344	0.14285714285714285	0.15223131714439184
Cell_45	-2.409638554	0.03048	0.2087499	0.131023474	0.14285714285714285	0.15223362727644832
Cell_46	-2.409638554	-0.03048	0.208757357	0.131050931	0.14285714285714285	0.1522354848104205
Cell_47	-2.409638554	-0.09144	0.208764471	0.131078413	0.14285714285714285	0.152236804615101
Cell_48	-2.409638554	-0.1524	0.208771237	0.131105618	0.14285714285714285	0.1522377073296081
Cell_49	-2.409638554	-0.21336	0.208777573	0.131132251	0.14285714285714285	0.15223812182117485
Cell_50	-2.409638554	-0.27432	0.208783656	0.131158012	0.14285714285714285	0.15223846658946186
Cell_51	-2.409638554	-0.33528	0.208789327	0.131182636	0.14285714285714285	0.15223857692710313
Cell_52	-2.409638554	-0.39624	0.208795249	0.13120583	0.14285714285714285	0.15240065121078655
Cell_53	-2.409638554	-0.4572	0.20880081	0.131227403	0.14285714285714285	0.15224058096624632
Cell_54	-2.409638554	-0.51816	0.208808292	0.131247037	0.14285714285714285	0.15224522515270097
Cell_55	-2.409638554	-0.57912	0.208815482	0.13126474	0.14285714285714285	0.15225009268050135
